Song Name,Singer Name,Song Audio,Type,Improved_Type,Mood_Tag,Final_Type
nahin milta,bayaan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/89959dbf-ee37-4613-99e4-25514167cd54.mp3,Other,Other,Neutral,Other
ISHQ,amir ameer ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/784faae9-1015-4ec2-94d0-3a1284e77a39.mp3,Romantic,Romantic,Romantic,Romantic
Ve kamleya ,arijit,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/097fcb02-6d64-4836-ad0f-976718326e1e.mp3,Other,Other,Neutral,Other
Tere Hawaale,"Aamir,Kareena | Arijit,Shilpa | Pritam,Amitabh,Advait",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/dfc85d98-0a3f-4c27-b11b-dae8facad1d6.mp3,Sad,Sad,Melancholic,Sad
SUNIYAN SUNIYAN ,Juss x MixSingh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/41a5e2ff-e0d8-42b0-b892-1ed54dc81c40.mp3,Other,Other,Neutral,Other
Kun Faya Kun,A.R. Rahman | Javed Ali  | Mohit Chauhan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/70bd977d-8489-4dec-9671-e0bdbdaa9dff.mp3,Other,Other,Neutral,Other
Choo Lo,The Local Train | Aalas Ka Pedh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d944259f-a33f-4076-8256-ce751063e244.mp3,Other,Other,Neutral,Other
ALAG AASMAAN ,Anuv Jain,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/a1aeea74-2553-42c4-b059-da083d8e2822.mp3,Other,Other,Neutral,Other
HUSN,anuv jain,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/92454f18-677d-44ad-aacf-0dfed3ffbb72.mp3,Other,Other,Neutral,Other
TU HAI KAHAN,AUR,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/151a0f30-95c7-4e82-8798-77d8daf92151.mp3,Other,Other,Neutral,Other
SHIKAYAT,AUR,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/ba54c5c8-09af-4cbc-b7fd-81a24dba91cb.mp3,Other,Other,Neutral,Other
 Pasoori,Ali Sethi | Shae Gill,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/5966b0fb-cb79-4110-9208-41d9ae97fda2.mp3,Other,Other,Neutral,Other
Desi Kalakaar,Yo Yo Honey Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/25360130-abcb-4d51-a09f-4b5b30dcb414.mp3,Other,Other,Neutral,Other
Brown Rang,Yo Yo Honey Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d8d0c7de-91e5-408b-94e9-8602bc319af9.mp3,Other,Sad,Upbeat,Sad
LOVE DOSE,Yo Yo Honey Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/875b1911-8b67-4210-9a0b-928cd8183464.mp3,Romantic,Romantic,Romantic,Romantic
Bewafa,imran khan ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/5508a463-377f-4dc0-9a05-71e7dafbfc7b.mp3,Other,Other,Neutral,Other
Amplifier,imran khan ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/cf818099-14de-444f-bf22-41f2e07165a0.mp3,Other,Other,Neutral,Other
Satisfya,imran khan ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/66b77904-01ce-42ef-ab8b-874ef01bab6f.mp3,Other,Other,Neutral,Other
Illuminati,Sushin Shyam | Dabzee | Vinayak Sasikumar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/8382f154-6cb6-441c-927c-e795c874af64.mp3,Other,Other,Neutral,Other
Armadham,Jithu Madhavan |Fahadh Faasil | Sushin Shyam | Vinayak| Nazriya| Anwar Rasheed,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/7711559d-d7f8-4217-ac1d-1fde2694932f.mp3,Other,Other,Neutral,Other
Vaathi Coming,Anirudh Ravichander | Lokesh Kanagaraj,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/54adddb9-2a4d-42ad-9847-1d63044ed643.mp3,Other,Other,Neutral,Other
Arabic Kuthu,Nelson | Anirudh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d2583485-b673-4ada-b062-ab420bbaf093.mp3,Other,Other,Neutral,Other
Hale Dil Tujhko Sunata,Emraan Hashmi,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/be276a59-58e8-4a96-af01-f4a70c178d46.mp3,Sad,Sad,Romantic,Sad
Kaho Na Kaho,Emraan Hashmi,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/8edb86f2-f405-4b57-b27f-f90ea8dacb8b.mp3,Other,Other,Neutral,Other
Rowdy Baby,Yuvan Shankar Raja | Balaji Mohan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/20a1d2e4-5904-4edf-992d-e689fdccfbf5.mp3,Other,Sad,Sad,Sad
Jimikki Ponnu,Thaman S | Vamshi Paidipally,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/86d44044-c1f5-4e06-bd33-5fb308212a77.mp3,Party,Party,Neutral,Party
 Ranjithame,Vamshi Paidipally | Thaman S,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/93ff5a75-361c-410f-965e-0e930981a66a.mp3,Other,Other,Neutral,Other
Naa Ready,Lokesh Kanagaraj | Anirudh Ravichander,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/358d4433-8ffa-47e7-a158-80584b390ee5.mp3,Other,Other,Neutral,Other
 Thee Thalapathy,STR | Vamshi Paidipally | Thaman,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/acb422d8-f21d-429f-b211-2e5b77a3b5b3.mp3,Other,Other,Neutral,Other
 Badass,Anirudh Ravichander,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/cd6f463b-7a97-43ef-837f-441e33c4db6d.mp3,Other,Other,Neutral,Other
